idx,miou,dice,pixel_acc
2845,0.8678,0.9241,0.9785
2846,0.7957,0.8774,0.9493
2847,0.6359,0.7685,0.824
2848,0.5735,0.7105,0.7956
2849,0.762,0.8558,0.8994
2850,0.7941,0.8757,0.9197
2851,0.8134,0.8917,0.92
2852,0.8456,0.9092,0.9605
2853,0.7967,0.8794,0.9214
2854,0.8303,0.9021,0.9647
2855,0.8194,0.8921,0.9411
2856,0.1977,0.2482,0.5932
2857,0.8192,0.8926,0.9391
2858,0.6761,0.7863,0.8911
2859,0.7274,0.826,0.963
2860,0.6514,0.7707,0.815
2861,0.7655,0.85,0.9268
2862,0.744,0.8461,0.8828
2863,0.8143,0.8866,0.9462
2864,0.5583,0.6995,0.7585
2865,0.7635,0.8554,0.9136
2866,0.7908,0.8744,0.9155
2867,0.803,0.8753,0.9489
2868,0.8127,0.8898,0.9454
2869,0.6325,0.755,0.8357
2870,0.6631,0.7688,0.9382
2871,0.6998,0.8031,0.8835
2872,0.673,0.7783,0.8789
2873,0.7061,0.8134,0.8799
2874,0.7852,0.8723,0.9499
2875,0.6488,0.7727,0.8697
2876,0.7099,0.8139,0.9147
2877,0.8519,0.9132,0.9583
2878,0.8502,0.9144,0.9824
2879,0.7159,0.8174,0.8861
2880,0.7054,0.8152,0.8661
2881,0.515,0.6518,0.825
2882,0.7073,0.8115,0.9382
2883,0.748,0.8315,0.9401
2884,0.7254,0.8162,0.9014
2885,0.7908,0.8743,0.9465
2886,0.7167,0.816,0.8859
2887,0.5993,0.7207,0.899
2888,0.4486,0.6051,0.6909
2889,0.7971,0.8739,0.9547
2890,0.808,0.8853,0.9417
2891,0.8003,0.8777,0.9594
2892,0.6244,0.7444,0.8387
2893,0.6251,0.7669,0.795
2894,0.7303,0.8141,0.9274
2895,0.7711,0.863,0.9171
2896,0.8833,0.9339,0.9745
2897,0.8282,0.898,0.956
2898,0.739,0.8354,0.9189
2899,0.6966,0.7984,0.8854
2900,0.6982,0.8084,0.8752
2901,0.8091,0.8831,0.9403
2902,0.8538,0.9147,0.9608
2903,0.7704,0.8605,0.9017
2904,0.7779,0.8663,0.9026
2905,0.6485,0.7708,0.9128
2906,0.8771,0.9301,0.9755
2907,0.8197,0.8906,0.9506
2908,0.8541,0.9159,0.9567
2909,0.8472,0.9109,0.9499
2910,0.6059,0.7379,0.8076
2911,0.8659,0.9211,0.9725
2912,0.5339,0.6702,0.7853
2913,0.8153,0.89,0.933
2914,0.844,0.9109,0.9362
2915,0.6617,0.7868,0.885
2916,0.7029,0.8047,0.8858
2917,0.785,0.8663,0.9454
2918,0.7211,0.812,0.9159
2919,0.7656,0.8567,0.8956
2920,0.8579,0.9179,0.9761
2921,0.8087,0.8869,0.9214
2922,0.7762,0.8558,0.9259
2923,0.7281,0.8294,0.9116
2924,0.8597,0.9199,0.9547
2925,0.7994,0.8819,0.9141
2926,0.8281,0.8974,0.9481
2927,0.8319,0.9001,0.9494
2928,0.7497,0.8445,0.8907
2929,0.8413,0.9053,0.9609
2930,0.713,0.8172,0.8745
2931,0.8454,0.9078,0.9601
2932,0.7147,0.8251,0.8596
2933,0.716,0.8186,0.8958
2934,0.7218,0.8222,0.8913
2935,0.7939,0.8766,0.968
2936,0.888,0.9381,0.9899
2937,0.7051,0.8103,0.8719
2938,0.6825,0.7897,0.8906
2939,0.806,0.8849,0.9197
2940,0.819,0.8911,0.9456
2941,0.7634,0.8581,0.8896
2942,0.8718,0.9275,0.974
2943,0.8345,0.9026,0.9596
2944,0.7661,0.8597,0.9335
2945,0.8857,0.9346,0.9745
2946,0.8647,0.9238,0.9728
2947,0.7426,0.8449,0.8949
2948,0.7869,0.8707,0.9736
2949,0.7267,0.8287,0.9591
2950,0.3991,0.5355,0.6542
2951,0.834,0.9014,0.9673
2952,0.8433,0.9074,0.969
2953,0.7702,0.8585,0.9062
2954,0.821,0.8935,0.9557
2955,0.8697,0.9263,0.9547
2956,0.8504,0.9137,0.9491
2957,0.8529,0.9169,0.9566
2958,0.8425,0.9078,0.9518
2959,0.6263,0.7439,0.8551
2960,0.8693,0.9258,0.9646
2961,0.7672,0.8549,0.9352
2962,0.6742,0.7837,0.9476
2963,0.7534,0.8389,0.9191
2964,0.7261,0.826,0.9108
2965,0.8318,0.899,0.954
2966,0.8337,0.9022,0.9427
2967,0.8792,0.9323,0.9717
2968,0.7666,0.8586,0.8915
2969,0.7817,0.8676,0.9153
2970,0.7406,0.8392,0.9019
2971,0.7889,0.871,0.9734
2972,0.7728,0.8586,0.9308
2973,0.843,0.9081,0.9554
2974,0.8192,0.8953,0.9193
2975,0.8397,0.9076,0.9492
2976,0.8785,0.9305,0.9683
2977,0.8448,0.9089,0.9533
2978,0.8026,0.8817,0.9339
2979,0.651,0.7746,0.8495
2980,0.8175,0.8905,0.9419
2981,0.8241,0.8969,0.9484
2982,0.7876,0.8675,0.9315
2983,0.8372,0.9064,0.9517
2984,0.8549,0.9164,0.965
