idx,miou,dice,pixel_acc
3420,0.7531,0.8488,0.9138
3421,0.8119,0.8849,0.9485
3422,0.6935,0.8131,0.8345
3423,0.6235,0.7446,0.9099
3424,0.7859,0.8713,0.9067
3425,0.4481,0.6073,0.668
3426,0.6959,0.8014,0.9437
3427,0.7482,0.8477,0.9317
3428,0.8074,0.8869,0.9266
3429,0.5507,0.697,0.7725
3430,0.853,0.9149,0.9627
3431,0.8736,0.9273,0.9681
3432,0.905,0.9472,0.9783
3433,0.7735,0.8601,0.9203
3434,0.7136,0.8213,0.8866
3435,0.8054,0.8837,0.947
3436,0.8237,0.8962,0.9396
3437,0.6232,0.7525,0.8077
3438,0.5082,0.6482,0.7803
3439,0.7533,0.8454,0.9071
3440,0.712,0.8176,0.9136
3441,0.5968,0.7262,0.8854
3442,0.6279,0.7396,0.9477
3443,0.8075,0.8865,0.9619
3444,0.8135,0.891,0.9682
3445,0.789,0.8751,0.9567
3446,0.6994,0.8064,0.9125
3447,0.8333,0.9023,0.9617
3448,0.6073,0.734,0.8389
3449,0.6497,0.7699,0.8481
3450,0.8131,0.8905,0.9719
3451,0.8253,0.9002,0.9428
3452,0.6886,0.8029,0.8684
3453,0.8643,0.9237,0.9589
3454,0.7679,0.8569,0.9144
3455,0.8565,0.9158,0.9691
3456,0.8439,0.9088,0.9584
3457,0.8169,0.8916,0.9319
3458,0.8096,0.8864,0.9329
3459,0.7878,0.873,0.9619
3460,0.8755,0.9308,0.9579
3461,0.7845,0.8702,0.9432
3462,0.8021,0.8803,0.9492
3463,0.8018,0.8839,0.9322
3464,0.777,0.8676,0.9071
3465,0.8317,0.9046,0.9426
3466,0.7301,0.8409,0.8646
3467,0.4299,0.5626,0.7748
3468,0.7699,0.8567,0.9276
3469,0.8294,0.8998,0.9414
3470,0.7437,0.8362,0.9407
3471,0.6844,0.7967,0.8711
3472,0.7993,0.8738,0.9437
3473,0.2529,0.2876,0.7586
3474,0.8189,0.8934,0.9557
3475,0.5979,0.7246,0.8762
3476,0.8721,0.9272,0.9667
3477,0.876,0.931,0.9772
3478,0.7618,0.8542,0.924
3479,0.8871,0.9361,0.9708
3480,0.722,0.8246,0.937
3481,0.8323,0.9018,0.9622
3482,0.8209,0.8949,0.937
3483,0.8547,0.9166,0.9731
3484,0.6504,0.7747,0.8755
3485,0.8198,0.8919,0.9378
3486,0.8387,0.9064,0.9424
3487,0.6607,0.7826,0.8632
3488,0.7125,0.8206,0.8701
3489,0.7749,0.8576,0.9189
3490,0.8073,0.8855,0.9697
3491,0.7598,0.8427,0.936
3492,0.7613,0.8529,0.9427
3493,0.4521,0.5766,0.8453
3494,0.6601,0.7769,0.943
3495,0.7242,0.8301,0.881
3496,0.7585,0.8541,0.941
3497,0.7018,0.8073,0.9576
3498,0.7969,0.8796,0.938
3499,0.4909,0.6096,0.8593
3500,0.4352,0.5518,0.8372
3501,0.4482,0.5658,0.8585
3502,0.4468,0.6086,0.668
3503,0.7126,0.8225,0.8738
3504,0.7959,0.8766,0.9691
3505,0.806,0.885,0.9539
3506,0.766,0.8569,0.9446
3507,0.8468,0.9119,0.9669
3508,0.805,0.8833,0.9452
3509,0.7747,0.8596,0.9676
3510,0.8985,0.9437,0.9742
3511,0.5832,0.7033,0.9462
3512,0.8271,0.8956,0.9502
3513,0.7766,0.8707,0.8931
3514,0.8259,0.8973,0.9603
3515,0.7621,0.8514,0.965
3516,0.5542,0.6904,0.8481
3517,0.7933,0.8713,0.9378
3518,0.8511,0.913,0.9622
3519,0.8146,0.8897,0.9836
3520,0.6717,0.7798,0.9421
3521,0.8437,0.9083,0.9504
3522,0.885,0.9361,0.9659
3523,0.8716,0.9271,0.9709
3524,0.8568,0.9169,0.9595
3525,0.7211,0.814,0.9078
3526,0.8215,0.8961,0.9542
3527,0.7916,0.8765,0.9409
3528,0.7275,0.8263,0.8987
3529,0.5705,0.7004,0.8977
3530,0.7254,0.8259,0.9525
3531,0.8498,0.9139,0.951
3532,0.4375,0.5911,0.6854
3533,0.8128,0.8885,0.9429
3534,0.6076,0.7215,0.9489
3535,0.731,0.827,0.937
3536,0.8289,0.9002,0.9662
3537,0.5356,0.6908,0.7404
3538,0.6685,0.7696,0.9523
3539,0.7107,0.8162,0.893
3540,0.7913,0.8742,0.9327
3541,0.8027,0.8806,0.9493
3542,0.718,0.8196,0.8845
3543,0.7605,0.8501,0.9333
3544,0.6844,0.7944,0.8571
3545,0.8057,0.8826,0.9341
3546,0.7233,0.8281,0.8934
3547,0.636,0.7629,0.8123
3548,0.8186,0.8927,0.9427
3549,0.8463,0.9102,0.9577
3550,0.851,0.9136,0.9766
3551,0.7407,0.8314,0.8974
3552,0.749,0.8444,0.9142
3553,0.826,0.8966,0.9626
3554,0.6513,0.7532,0.9637
3555,0.5131,0.6295,0.9337
3556,0.6771,0.7979,0.8347
3557,0.6751,0.7878,0.8666
3558,0.7668,0.8544,0.9457
3559,0.8259,0.8974,0.9383
3560,0.8449,0.911,0.9845
3561,0.6765,0.7867,0.875
3562,0.7016,0.8129,0.8862
3563,0.873,0.9264,0.9767
3564,0.7721,0.8607,0.9384
3565,0.81,0.8846,0.939
3566,0.7809,0.8664,0.9243
3567,0.7296,0.8303,0.9045
3568,0.811,0.8849,0.9418
3569,0.8219,0.894,0.9507
3570,0.8238,0.8935,0.9755
3571,0.7963,0.8777,0.9229
3572,0.7431,0.8332,0.9318
3573,0.6107,0.7418,0.8348
3574,0.6909,0.795,0.9193
3575,0.8054,0.8798,0.9404
3576,0.778,0.8649,0.9227
3577,0.7972,0.8768,0.935
3578,0.7343,0.8367,0.8972
3579,0.676,0.7725,0.8852
3580,0.8058,0.8841,0.9591
3581,0.4942,0.6301,0.751
3582,0.7797,0.8609,0.9308
3583,0.6636,0.7795,0.8484
3584,0.8027,0.8829,0.9355
3585,0.7223,0.8176,0.9431
3586,0.7884,0.8701,0.9554
3587,0.7551,0.8485,0.9034
3588,0.7132,0.8177,0.8651
3589,0.6133,0.7468,0.8099
3590,0.5801,0.7088,0.7751
3591,0.7426,0.8387,0.9417
3592,0.7351,0.833,0.9347
3593,0.7535,0.846,0.922
3594,0.7977,0.8798,0.9456
3595,0.807,0.883,0.9515
3596,0.4057,0.5655,0.633
3597,0.5006,0.6451,0.7466
3598,0.5101,0.6387,0.7345
3599,0.6909,0.7989,0.8643
3600,0.5981,0.7295,0.8356
3601,0.574,0.7126,0.7717
3602,0.7901,0.8723,0.9326
3603,0.8067,0.8846,0.9412
3604,0.6174,0.7428,0.8398
3605,0.7858,0.864,0.9338
3606,0.701,0.7985,0.938
3607,0.801,0.8794,0.9506
3608,0.7971,0.8816,0.9199
3609,0.5602,0.7059,0.7524
3610,0.8064,0.8853,0.9233
3611,0.7216,0.819,0.9045
3612,0.8023,0.8833,0.9313
3613,0.7423,0.841,0.9157
3614,0.7095,0.8166,0.9164
3615,0.7446,0.8398,0.8947
3616,0.6924,0.7973,0.8807
3617,0.5401,0.6806,0.7623
3618,0.8011,0.8824,0.913
3619,0.7231,0.8168,0.8983
3620,0.6051,0.7319,0.7964
3621,0.6387,0.7656,0.8339
3622,0.6105,0.7332,0.8079
3623,0.4182,0.5556,0.7081
3624,0.7626,0.8558,0.9409
3625,0.4626,0.6164,0.6944
3626,0.609,0.7309,0.8188
3627,0.7936,0.8782,0.9211
3628,0.6964,0.8126,0.853
3629,0.7887,0.8719,0.9356
3630,0.7292,0.8306,0.9234
3631,0.6144,0.7431,0.8121
3632,0.7701,0.8548,0.9198
3633,0.6196,0.7404,0.816
3634,0.7701,0.8603,0.8978
3635,0.7971,0.879,0.9642
3636,0.7494,0.8479,0.9059
3637,0.6242,0.74,0.9409
3638,0.7874,0.8731,0.9058
3639,0.7633,0.8572,0.8867
3640,0.8358,0.9054,0.9474
3641,0.8014,0.8759,0.9396
3642,0.723,0.8231,0.9027
3643,0.7445,0.838,0.9556
3644,0.7355,0.8317,0.8862
3645,0.4221,0.5894,0.6191
3646,0.8488,0.9131,0.9766
3647,0.6808,0.7862,0.8999
3648,0.749,0.8456,0.9182
3649,0.6958,0.8056,0.8686
3650,0.6572,0.7773,0.8243
3651,0.771,0.8608,0.9415
3652,0.7922,0.8735,0.9221
3653,0.8488,0.9136,0.9693
3654,0.5607,0.699,0.7753
3655,0.7928,0.8731,0.9391
3656,0.7317,0.8328,0.8918
3657,0.8352,0.9028,0.9631
3658,0.7726,0.8629,0.9094
3659,0.7582,0.8503,0.9022
3660,0.4438,0.6051,0.6616
3661,0.7822,0.8681,0.9149
3662,0.811,0.8877,0.9384
3663,0.7494,0.8446,0.9369
3664,0.7565,0.8518,0.8855
3665,0.5815,0.7105,0.8259
3666,0.7625,0.8486,0.9521
3667,0.6864,0.787,0.9064
3668,0.752,0.8424,0.9096
